SID,ID,Grade,Homeroom,Consent
S2-14-07,148967,2,MITTMAN,1
S2-19-18,148973,2,ZORRILLA,1
S2-16-02,148994,2,PERRY/KEENAN,
S2-06-01,149008,2,EMONT,
S2-06-04,149126,2,EMONT,
S2-13-18,149254,2,MEJIA/BRADBURY,1
S2-06-03,149279,2,EMONT,
S2-14-02,149317,2,MITTMAN,1
S2-18-18,149322,2,WOODING,
S2-13-09,149340,2,MEJIA/BRADBURY,1
S2-14-04,149364,2,MITTMAN,
S1-00-01,149380,1,,
S2-17-11,149400,2,RENTAS,1
S2-17-06,149401,2,RENTAS,1
S2-01-01,149405,2,BALUJA,
S2-13-06,149429,2,MEJIA/BRADBURY,1
S2-19-02,149558,2,ZORRILLA,
S2-14-01,149559,2,MITTMAN,
S2-16-04,149573,2,PERRY/KEENAN,1
S2-03-12,149591,2,CHUN,1
S2-13-02,149607,2,MEJIA/BRADBURY,1
S2-19-10,149619,2,ZORRILLA,
S2-09-12,149652,2,HUNTER/PIERIES,
S2-15-01,149656,2,PAZYMINO,1
S2-19-17,149669,2,ZORRILLA,
S2-03-16,149679,2,CHUN,
S2-18-21,149680,2,WOODING,
S2-10-13,149707,2,KANE,1
S1-04-02,149717,1,D'IZZIA/JANO,
S2-14-03,149764,2,MITTMAN,
S1-02-03,149790,1,BURKE/HALL,1
S1-09-11,149913,1,MARGULIES,1
S2-06-02,149914,2,EMONT,
S2-16-19,149917,2,PERRY/KEENAN,1
S1-06-05,149921,1,GIGANTI/CHAMBERS,1
S1-02-18,149929,1,BURKE/HALL,
S1-04-01,149934,1,D'IZZIA/JANO,1
S1-13-05,149947,1,ROMANO,
S1-06-06,149969,1,GIGANTI/CHAMBERS,
S1-02-17,149978,1,BURKE/HALL,1
S1-05-01,149982,1,EMONT,
S2-14-08,149989,2,MITTMAN,
S1-02-04,149993,1,BURKE/HALL,
S1-02-09,149996,1,BURKE/HALL,1
S2-13-17,149999,2,MEJIA/BRADBURY,1
S1-05-02,150009,1,EMONT,
S1-04-11,150010,1,D'IZZIA/JANO,1
S2-13-01,150035,2,MEJIA/BRADBURY,1
S2-10-02,150037,2,KANE,1
S2-04-01,150038,2,CSASZAR,1
S2-17-01,150039,2,RENTAS,
S2-17-02,150041,2,RENTAS,1
S2-17-03,150042,2,RENTAS,1
S2-18-01,150044,2,WOODING,1
S2-18-02,150046,2,WOODING,1
S2-18-03,150052,2,WOODING,
S2-04-04,150053,2,CSASZAR,
S2-04-05,150054,2,CSASZAR,1
S2-04-06,150055,2,CSASZAR,
S2-18-05,150060,2,WOODING,
S2-10-06,150061,2,KANE,
S2-19-03,150062,2,ZORRILLA,1
S2-13-05,150063,2,MEJIA/BRADBURY,1
S2-10-07,150064,2,KANE,
S2-16-03,150066,2,PERRY/KEENAN,
S2-03-01,150067,2,CHUN,1
S2-19-04,150068,2,ZORRILLA,1
S2-17-07,150069,2,RENTAS,1
S2-19-05,150070,2,ZORRILLA,1
S2-17-08,150071,2,RENTAS,1
S2-17-04,150073,2,RENTAS,1
S2-13-07,150074,2,MEJIA/BRADBURY,
S2-04-08,150076,2,CSASZAR,1
S2-19-07,150078,2,ZORRILLA,1
S2-13-08,150079,2,MEJIA/BRADBURY,
S2-04-10,150080,2,CSASZAR,1
S2-18-09,150083,2,WOODING,1
S2-04-09,150084,2,CSASZAR,1
S2-09-03,150086,2,HUNTER/PIERIES,
S2-13-10,150087,2,MEJIA/BRADBURY,
S2-17-10,150088,2,RENTAS,1
S2-18-11,150090,2,WOODING,1
S2-18-12,150091,2,WOODING,1
S2-17-12,150095,2,RENTAS,1
S2-04-11,150096,2,CSASZAR,1
S2-16-07,150097,2,PERRY/KEENAN,1
S2-10-10,150098,2,KANE,1
S2-19-09,150099,2,ZORRILLA,1
S2-09-07,150101,2,HUNTER/PIERIES,1
S2-14-06,150102,2,MITTMAN,1
S2-18-16,150105,2,WOODING,1
S2-18-15,150106,2,WOODING,1
S2-16-09,150107,2,PERRY/KEENAN,1
S2-10-12,150110,2,KANE,
S2-03-07,150111,2,CHUN,
S2-17-13,150112,2,RENTAS,1
S2-13-15,150114,2,MEJIA/BRADBURY,1
S2-09-08,150115,2,HUNTER/PIERIES,1
S2-04-14,150116,2,CSASZAR,
S2-17-14,150117,2,RENTAS,1
S2-19-14,150119,2,ZORRILLA,1
S2-17-15,150120,2,RENTAS,1
S2-19-12,150121,2,ZORRILLA,1
S2-09-13,150122,2,HUNTER/PIERIES,1
S2-17-16,150123,2,RENTAS,1
S1-09-07,150125,1,MARGULIES,1
S2-16-14,150126,2,PERRY/KEENAN,1
S1-07-18,150127,1,GUTIERREZ,1
S2-19-15,150128,2,ZORRILLA,
S2-10-16,150130,2,KANE,
S2-19-16,150132,2,ZORRILLA,
S2-03-11,150134,2,CHUN,
S2-17-17,150135,2,RENTAS,1
S2-18-19,150137,2,WOODING,1
S2-17-18,150139,2,RENTAS,
S2-10-19,150140,2,KANE,
S2-16-17,150141,2,PERRY/KEENAN,1
S2-09-15,150142,2,HUNTER/PIERIES,
S2-19-19,150143,2,ZORRILLA,
S2-04-03,150145,2,CSASZAR,
S2-17-19,150146,2,RENTAS,1
S2-03-09,150147,2,CHUN,
S2-17-20,150148,2,RENTAS,
S1-11-17,150149,1,MEEKS,1
S2-13-21,150152,2,MEJIA/BRADBURY,1
S2-10-22,150155,2,KANE,
S1-06-03,150159,1,GIGANTI/CHAMBERS,
S2-19-08,150161,2,ZORRILLA,1
S2-14-10,150168,2,MITTMAN,
S1-10-15,150236,1,MATA,
S2-09-20,150276,2,HUNTER/PIERIES,1
S2-13-16,150309,2,MEJIA/BRADBURY,
S2-16-06,150313,2,PERRY/KEENAN,
S1-08-01,150314,1,Manziano,
S2-16-08,150328,2,PERRY/KEENAN,1
S2-03-03,150333,2,CHUN,1
S2-04-17,150334,2,CSASZAR,1
S2-04-13,150338,2,CSASZAR,
S2-13-12,150345,2,MEJIA/BRADBURY,1
S2-14-05,150346,2,MITTMAN,1
S2-03-19,150347,2,CHUN,
S1-13-01,150350,1,ROMANO,1
S2-03-14,150352,2,CHUN,
S2-16-16,150354,2,PERRY/KEENAN,
S2-10-01,150356,2,KANE,
S1-13-03,150371,1,ROMANO,1
S2-18-17,150372,2,WOODING,1
S2-10-21,150388,2,KANE,
S2-09-18,150409,2,HUNTER/PIERIES,
S2-16-18,150415,2,PERRY/KEENAN,1
S2-09-02,150417,2,HUNTER/PIERIES,1
S2-03-05,150420,2,CHUN,
S2-18-08,150423,2,WOODING,
S2-13-13,150425,2,MEJIA/BRADBURY,
S2-18-06,150436,2,WOODING,1
S2-13-14,150438,2,MEJIA/BRADBURY,
S2-10-09,150439,2,KANE,
S1-11-02,150453,1,MEEKS,1
S2-14-09,150491,2,MITTMAN,
S2-03-04,150502,2,CHUN,1
S2-09-04,150523,2,HUNTER/PIERIES,
S2-13-11,150529,2,MEJIA/BRADBURY,
S2-10-11,150611,2,KANE,1
S2-18-13,150612,2,WOODING,1
S1-13-02,150617,1,ROMANO,
S1-11-07,150639,1,MEEKS,
S2-10-03,150640,2,KANE,1
S2-09-16,150642,2,HUNTER/PIERIES,
S2-04-02,150643,2,CSASZAR,
S1-09-01,150645,1,MARGULIES,1
S2-09-01,150646,2,HUNTER/PIERIES,
S2-17-09,150650,2,RENTAS,1
S2-09-06,150651,2,HUNTER/PIERIES,
S2-04-07,150652,2,CSASZAR,1
S2-04-12,150654,2,CSASZAR,1
S1-13-06,150655,1,ROMANO,
S2-19-11,150656,2,ZORRILLA,1
S2-09-09,150657,2,HUNTER/PIERIES,
S2-04-16,150659,2,CSASZAR,1
S2-03-13,150660,2,CHUN,1
S2-04-18,150661,2,CSASZAR,1
S1-12-12,150662,1,PAZYMINO,1
S2-09-19,150663,2,HUNTER/PIERIES,1
S2-19-13,150664,2,ZORRILLA,1
S1-11-01,150666,1,MEEKS,1
S1-15-01,150667,1,TRIANO,1
S1-03-03,150669,1,CAPILLI,
S1-12-01,150670,1,PAZYMINO,1
S1-14-02,150674,1,ROSA,1
S1-07-04,150677,1,GUTIERREZ,0
S1-12-02,150678,1,PAZYMINO,1
S1-04-04,150680,1,D'IZZIA/JANO,1
S1-07-03,150682,1,GUTIERREZ,
S1-10-01,150683,1,MATA,1
S1-14-04,150684,1,ROSA,
S1-04-03,150685,1,D'IZZIA/JANO,1
S2-12-01,150686,2,MEEKS,
S2-04-19,150687,2,CSASZAR,
S2-18-20,150688,2,WOODING,1
S1-02-07,150690,1,BURKE/HALL,
S2-10-18,150691,2,KANE,1
S1-10-02,150692,1,MATA,1
S1-14-07,150693,1,ROSA,1
S1-07-06,150694,1,GUTIERREZ,1
S1-10-03,150695,1,MATA,
S1-07-05,150697,1,GUTIERREZ,1
S1-11-05,150698,1,MEEKS,
S1-02-08,150700,1,BURKE/HALL,1
S1-14-06,150701,1,ROSA,
S1-03-04,150704,1,CAPILLI,1
S1-04-05,150705,1,D'IZZIA/JANO,1
S1-03-06,150706,1,CAPILLI,1
S1-04-09,150709,1,D'IZZIA/JANO,
S1-04-07,150710,1,D'IZZIA/JANO,1
S1-10-06,150711,1,MATA,1
S1-10-07,150712,1,MATA,1
S1-03-07,150713,1,CAPILLI,
S1-04-08,150714,1,D'IZZIA/JANO,1
S1-12-04,150715,1,PAZYMINO,1
S2-10-04,150716,2,KANE,
S1-11-08,150717,1,MEEKS,
S1-14-08,150720,1,ROSA,0
S1-02-12,150721,1,BURKE/HALL,
S1-07-09,150722,1,GUTIERREZ,
S1-15-03,150723,1,TRIANO,
S1-02-11,150724,1,BURKE/HALL,
S1-10-08,150725,1,MATA,1
S1-02-14,150727,1,BURKE/HALL,
S1-15-04,150728,1,TRIANO,1
S1-11-11,150730,1,MEEKS,1
S1-13-04,150732,1,ROMANO,1
S1-14-10,150733,1,ROSA,
S1-04-13,150734,1,D'IZZIA/JANO,1
S1-09-02,150735,1,MARGULIES,
S1-07-14,150737,1,GUTIERREZ,
S1-10-10,150738,1,MATA,
S1-10-09,150739,1,MATA,1
S1-07-11,150741,1,GUTIERREZ,1
S1-04-15,150743,1,D'IZZIA/JANO,0
S1-15-05,150744,1,TRIANO,1
S1-09-03,150746,1,MARGULIES,
S1-15-06,150747,1,TRIANO,
S1-09-06,150748,1,MARGULIES,1
S1-07-16,150751,1,GUTIERREZ,
S1-10-04,150752,1,MATA,
S1-04-16,150753,1,D'IZZIA/JANO,
S1-11-06,150754,1,MEEKS,
S1-13-07,150755,1,ROMANO,
S1-15-09,150756,1,TRIANO,1
S1-09-10,150757,1,MARGULIES,
S1-15-10,150758,1,TRIANO,1
S1-12-09,150760,1,PAZYMINO,1
S1-04-18,150761,1,D'IZZIA/JANO,1
S1-10-13,150762,1,MATA,1
S1-15-11,150764,1,TRIANO,1
S1-03-13,150766,1,CAPILLI,
S1-15-12,150767,1,TRIANO,
S1-12-11,150768,1,PAZYMINO,1
S1-12-13,150769,1,PAZYMINO,1
S1-09-12,150770,1,MARGULIES,
S1-15-14,150771,1,TRIANO,
S1-13-08,150772,1,ROMANO,
S1-15-13,150774,1,TRIANO,
S1-04-19,150775,1,D'IZZIA/JANO,
S1-09-17,150776,1,MARGULIES,
S1-09-16,150779,1,MARGULIES,
S1-15-15,150780,1,TRIANO,
S1-14-15,150781,1,ROSA,1
S1-11-18,150782,1,MEEKS,
S1-12-05,150783,1,PAZYMINO,1
S1-12-03,150784,1,PAZYMINO,
S1-14-14,150786,1,ROSA,1
S1-15-20,150787,1,TRIANO,
S1-14-17,150788,1,ROSA,1
S1-09-21,150789,1,MARGULIES,
S1-15-17,150790,1,TRIANO,
S2-04-15,150791,2,CSASZAR,
S2-16-12,150792,2,PERRY/KEENAN,
S2-16-13,150793,2,PERRY/KEENAN,1
S1-07-15,150820,1,GUTIERREZ,1
S1-06-08,150845,1,GIGANTI/CHAMBERS,1
S2-09-11,150903,2,HUNTER/PIERIES,
S2-03-10,150918,2,CHUN,
S1-12-07,150932,1,PAZYMINO,
S2-03-02,150936,2,CHUN,1
S1-11-15,150985,1,MEEKS,
S2-16-15,150986,2,PERRY/KEENAN,1
S1-03-05,150987,1,CAPILLI,1
S1-03-08,150988,1,CAPILLI,
S1-03-10,150992,1,CAPILLI,
S1-12-14,150993,1,PAZYMINO,
S1-14-01,151003,1,ROSA,1
S2-16-01,151005,2,PERRY/KEENAN,1
S2-16-20,151006,2,PERRY/KEENAN,1
S1-15-02,151007,1,TRIANO,1
S1-14-09,151008,1,ROSA,1
S1-11-04,151012,1,MEEKS,1
S1-11-03,151015,1,MEEKS,1
S2-13-04,151016,2,MEJIA/BRADBURY,1
S1-14-05,151028,1,ROSA,0
S1-02-06,151029,1,BURKE/HALL,
S1-12-15,151030,1,PAZYMINO,1
S1-10-16,151031,1,MATA,1
S1-11-10,151041,1,MEEKS,1
S2-03-06,151042,2,CHUN,
S2-10-15,151054,2,KANE,1
S1-14-12,151055,1,ROSA,1
S1-15-07,151056,1,TRIANO,
S2-10-08,151057,2,KANE,
S1-04-12,151062,1,D'IZZIA/JANO,
S2-10-17,151094,2,KANE,1
S1-09-05,151128,1,MARGULIES,1
S1-11-16,151129,1,MEEKS,
S1-02-10,151135,1,BURKE/HALL,
S2-19-01,151139,2,ZORRILLA,1
S2-03-17,151140,2,CHUN,
S1-09-18,151141,1,MARGULIES,1
S1-09-19,151143,1,MARGULIES,1
S1-06-01,151148,1,GIGANTI/CHAMBERS,
S1-15-16,151155,1,TRIANO,
S1-03-12,151164,1,CAPILLI,
S2-17-05,151168,2,RENTAS,1
S1-07-20,151185,1,GUTIERREZ,1
S1-07-10,151186,1,GUTIERREZ,
S1-09-20,151240,1,MARGULIES,
S2-03-15,151246,2,CHUN,1
S1-04-06,151285,1,D'IZZIA/JANO,
S2-09-05,151338,2,HUNTER/PIERIES,1
S2-10-05,151487,2,KANE,1
S1-06-07,151585,1,GIGANTI/CHAMBERS,
S2-10-20,151619,2,KANE,1
S1-09-09,151643,1,MARGULIES,
S2-08-02,151654,2,HEREDIA,
S1-02-05,151671,1,BURKE/HALL,
S1-07-22,151673,1,GUTIERREZ,
S1-07-02,151674,1,GUTIERREZ,1
S2-18-14,151698,2,WOODING,
S1-10-05,151826,1,MATA,
S1-04-10,151827,1,D'IZZIA/JANO,
S1-12-06,151828,1,PAZYMINO,
S1-15-08,151829,1,TRIANO,1
S1-12-08,151830,1,PAZYMINO,1
S1-10-11,151831,1,MATA,
S1-14-13,151832,1,ROSA,
S1-07-21,151834,1,GUTIERREZ,
S1-09-08,151835,1,MARGULIES,
S1-14-16,151836,1,ROSA,
S1-10-12,151837,1,MATA,1
S1-10-14,151839,1,MATA,
S1-02-13,151840,1,BURKE/HALL,
S1-11-09,151843,1,MEEKS,1
S1-07-19,151858,1,GUTIERREZ,
S1-09-04,151863,1,MARGULIES,
S1-03-02,151878,1,CAPILLI,
S1-03-09,151879,1,CAPILLI,1
S2-18-04,151888,2,WOODING,
S1-02-15,151889,1,BURKE/HALL,1
S2-13-03,151899,2,MEJIA/BRADBURY,
S1-07-08,151902,1,GUTIERREZ,1
S2-12-01,151932,2,MEEKS,
S1-13-09,151940,1,ROMANO,1
S1-03-11,151943,1,CAPILLI,
S1-03-16,151944,1,CAPILLI,1
S1-06-04,151954,1,GIGANTI/CHAMBERS,1
S2-16-05,151956,2,PERRY/KEENAN,1
S2-16-10,151958,2,PERRY/KEENAN,1
S1-02-16,151959,1,BURKE/HALL,
S2-05-01,151968,2,D'IZZIA/JANO,
S2-02-01,151969,2,BURKE/HALL,
S2-18-07,151976,2,WOODING,1
S1-14-11,151978,1,ROSA,1
S1-02-01,151981,1,BURKE/HALL,
S1-01-01,152098,1,Blanco,1
S1-03-15,152106,1,CAPILLI,1
S1-11-13,152107,1,MEEKS,
S1-04-14,152108,1,D'IZZIA/JANO,
S1-06-02,152112,1,GIGANTI/CHAMBERS,1
S1-07-07,152129,1,GUTIERREZ,
S1-11-12,152138,1,MEEKS,
S2-08-03,152153,2,HEREDIA,1
S2-13-22,152181,2,MEJIA/BRADBURY,
S2-03-08,152188,2,CHUN,
S1-12-10,152200,1,PAZYMINO,1
S2-10-14,152213,2,KANE,1
S2-07-01,152218,2,GUTIERREZ,1
S2-19-06,152229,2,ZORRILLA,1
S2-11-01,152237,2,MATA,
S2-03-18,152241,2,CHUN,1
S2-18-10,152246,2,WOODING,1
S2-08-01,152254,2,HEREDIA,1
S2-05-02,152256,2,D'IZZIA/JANO,1
S2-09-14,152271,2,HUNTER/PIERIES,1
S1-07-12,152291,1,GUTIERREZ,
S2-13-20,152547,2,MEJIA/BRADBURY,1
S1-07-13,152563,1,GUTIERREZ,
S1-09-13,152566,1,MARGULIES,1
S2-09-17,152579,2,HUNTER/PIERIES,1
S1-11-14,152581,1,MEEKS,
S1-03-14,152586,1,CAPILLI,1
S2-16-11,152595,2,PERRY/KEENAN,1
S1-09-14,152596,1,MARGULIES,1
S2-13-19,152597,2,MEJIA/BRADBURY,1
S1-14-03,152611,1,ROSA,
S1-04-17,152624,1,D'IZZIA/JANO,1
S1-07-01,152631,1,GUTIERREZ,1
S1-02-02,152643,1,BURKE/HALL,1
S2-09-10,152646,2,HUNTER/PIERIES,1
S1-07-17,152663,1,GUTIERREZ,
S1-03-01,152674,1,CAPILLI,
S1-09-15,152689,1,MARGULIES,
S1-07-23,,1,GUTIERREZ,1